run_epoch,epoch,loss_total,loss_rgb_identity,loss_cross_view,loss_sar_class,loss_cluster,loss_structure,loss_statistics,loss_physics,loss_perceptual,loss_angle,loss_adversarial,loss_feature_match,contribution_rgb_identity,contribution_cross_view,contribution_sar_class,contribution_cluster,contribution_structure,contribution_statistics,contribution_physics,contribution_perceptual,contribution_angle,contribution_adversarial,contribution_feature_match,loss_discriminator,loss_discriminator_wrong_azimuth,rgb_identity_accuracy,native_fake_accuracy,cluster_cosine,speckle_strength,validation_samples,validation_generated_identity,validation_real_identity,validation_generated_depression,validation_real_depression,validation_generated_azimuth_mae,validation_real_azimuth_mae,validation_pair_30_error,validation_feature_cosine,validation_aligned_lowpass_l1,validation_response_lowpass_l1_30
1,71,16.709242477416993,0.17347498214244841,0.01207462739944458,0.0,0.2931450080871582,0.5789371914863587,0.1151942412853241,0.5560312595367431,0.0,0.019449054561555386,-0.2088787652105093,0.015135464407503605,1.73474981880188,0.02414925479888916,0.0,1.4657250375747681,11.578743858337402,0.5759712071418762,1.6680937814712524,0.0,0.0038898109812289475,-0.4177575304210186,0.0756773220896721,2.3422534008026124,0.0,1.0,0.992,0.7068549919128418,0.32,640.0,0.98125,1.0,0.5125,0.9875,45.71883144378662,4.6779321193695065,50.959197425842284,0.4855400934815407,0.14322576373815538,0.1033782958984375
2,72,17.57537700653076,0.17008007049560547,0.011080514430999756,0.0,0.27082803535461425,0.5869952306747437,0.11059805238246918,0.5632373626232148,0.0,0.02047431728243828,0.2242022874802351,0.01263376298546791,1.70080069732666,0.022161028861999513,0.0,1.3541401815414429,11.739904624938966,0.5529902620315552,1.6897120895385742,0.0,0.0040948635246604685,0.4484045749604702,0.06316881477832795,1.7990556297302247,0.0,1.0,0.994,0.7291719646453857,0.32,640.0,0.99375,1.0,0.5078125,0.9875,46.31227264404297,4.6779321193695065,48.543314361572264,0.4963050276041031,0.14026175178587436,0.0975555419921875
3,73,17.66785572052002,0.16964636397361754,0.010815631866455079,0.0,0.261511109828949,0.5866317055225372,0.10764754283428192,0.5587484364509583,0.0,0.021348327308893203,0.31382119295746086,0.01263518987596035,1.6964636402130127,0.021631263732910157,0.0,1.3075555458068848,11.732634140014648,0.5382377121448517,1.6762453088760376,0.0,0.004269665548577905,0.6276423859149217,0.06317594930529595,1.7647067823410034,0.0,1.0,0.996,0.738488890171051,0.32,640.0,0.9859375,1.0,0.5640625,0.9875,44.15503559112549,4.6779321193695065,49.6076753616333,0.49762705713510513,0.144194246083498,0.109869384765625
4,74,17.724573493957518,0.16954125463962555,0.010765397071838378,0.0,0.2657320561408997,0.5915206537246704,0.10635861295461654,0.571797422170639,0.0,0.02132840459048748,0.2667475560158491,0.012722129955887795,1.6954125480651856,0.021530794143676757,0.0,1.328660280227661,11.830413093566895,0.5317930648326874,1.7153922700881958,0.0,0.004265681015327573,0.5334951120316982,0.06361064955592155,1.7785724334716797,0.0,1.0,0.9925,0.7342679438591003,0.32,640.0,0.98125,1.0,0.4859375,0.9875,41.948388481140135,4.6779321193695065,46.13170471191406,0.49881541132926943,0.14163305163383483,0.105328369140625
