run_epoch,epoch,loss_total,loss_rgb_identity,loss_cross_view,loss_sar_class,loss_cluster,loss_structure,loss_statistics,loss_physics,loss_perceptual,loss_angle,loss_adversarial,loss_feature_match,contribution_rgb_identity,contribution_cross_view,contribution_sar_class,contribution_cluster,contribution_structure,contribution_statistics,contribution_physics,contribution_perceptual,contribution_angle,contribution_adversarial,contribution_feature_match,loss_discriminator,loss_discriminator_wrong_azimuth,rgb_identity_accuracy,native_fake_accuracy,cluster_cosine,speckle_strength,validation_samples,validation_generated_identity,validation_real_identity,validation_generated_depression,validation_real_depression,validation_generated_azimuth_mae,validation_real_azimuth_mae,validation_pair_30_error,validation_feature_cosine,validation_aligned_lowpass_l1,validation_response_lowpass_l1_30
1,71,19.252289512634277,0.17627379608154298,0.012986411094665527,0.20114131927490234,0.2772173891067505,0.5855153703689575,0.11404136323928833,0.5582466802597046,0.0,0.019239557057619094,-0.18545906700193882,0.015122335702180863,1.7627379541397095,0.025972822189331054,2.413695837020874,1.3860869522094728,11.710307434082031,0.5702068133354187,1.6747400379180908,0.0,0.003847911486402154,-0.37091813400387763,0.07561167845129967,2.3169171667099,0.0,1.0,0.99775,0.7227826108932495,0.32,640.0,0.9953125,1.0,0.4859375,0.9875,48.68654460906983,4.6779321193695065,48.97226619720459,0.48379712253808976,0.1420084498822689,0.097967529296875
2,72,20.110895568847656,0.1702858831882477,0.011944975852966309,0.1944328317642212,0.26228266525268557,0.5928886103630066,0.11168983429670334,0.5638817186355591,0.0,0.019607455044984817,0.28081345015764236,0.013224895909428597,1.702858832359314,0.023889951705932617,2.3331939849853516,1.3114133291244507,11.85777219390869,0.558449168920517,1.691645154953003,0.0,0.003921491086483001,0.5616269003152847,0.06612447997927666,1.7778469543457032,0.0,1.0,0.9975,0.7377173347473145,0.32,640.0,0.9984375,1.0,0.4671875,0.9875,50.18990840911865,4.6779321193695065,48.201693058013916,0.48922556787729266,0.14209856167435647,0.098712158203125
3,73,20.054855911254883,0.16984534585475922,0.011951865673065186,0.19254711544513703,0.25636474418640137,0.5919436292648316,0.10892915171384811,0.5615456900596618,0.0,0.020503896206617356,0.3024934007078409,0.01257338658720255,1.698453456878662,0.023903731346130372,2.3105653743743897,1.2818237257003784,11.83887255859375,0.5446457562446594,1.6846370763778686,0.0,0.004100779306143523,0.6049868014156818,0.06286693301796913,1.792818084716797,0.0,1.0,0.9985,0.7436352558135987,0.32,640.0,0.990625,1.0,0.4953125,0.9875,53.61247730255127,4.6779321193695065,48.982698631286624,0.4897418081760406,0.14480293095111846,0.1043487548828125
4,74,20.23822151184082,0.16978610730171204,0.01190203619003296,0.19281716048717498,0.25796301126480103,0.601793447971344,0.107480906188488,0.5782843055725098,0.0,0.020399012476205826,0.2686700885295868,0.012677823677659034,1.6978610668182372,0.02380407238006592,2.3138059215545654,1.289815058708191,12.035868927001953,0.5374045293331147,1.734852915763855,0.0,0.004079802582040429,0.5373401770591736,0.0633891184926033,1.7846368503570558,0.0,1.0,0.99925,0.742036988735199,0.32,640.0,0.996875,1.0,0.4796875,0.9875,45.57888221740723,4.6779321193695065,45.06436958312988,0.49425464421510695,0.1429837815463543,0.098992919921875
