epoch,generator,adversarial,rgb_identity,ltc,sfm,geometry,discriminator,disc_wrong_class,disc_wrong_condition,r1,rgb_accuracy,native_class_accuracy,native_band_accuracy,native_polarization_accuracy,native_depression_accuracy,native_azimuth_accuracy,validation_ltc,validation_sfm,validation_geometry,validation_native_class_accuracy
1,2.4907001697619755,2.340254225405554,0.6483093443264564,0.003665498788517046,0.741772413512071,1.1717166204452514,1.0521348828077317,1.898987436970075,1.9541322349707286,0.0004135418571822811,0.8902291666666666,0.4400833333333333,0.6577916666666667,0.4932916666666667,0.6089166666666667,0.32708333333333334,0.002573338532218314,0.5755039575050906,0.8751832788067629,0.7805093046033301
2,2.602042066891988,1.015462257264182,0.2548049612790346,0.00019800588941385893,0.5231192118624847,0.9504680024385452,2.0102155010700224,0.2402220192203919,0.26101370191574097,0.0026477631979311507,0.9985208333333333,0.8435833333333334,0.644625,0.479,0.7392916666666667,0.5022083333333334,0.00022790706136111574,0.4332292079575265,0.7259305413976589,0.9642507345739472
3,2.4183987381855645,1.0367907973527908,0.24823582184314727,0.0001708622599356507,0.46247990600268046,0.6935685837864876,1.9958871007363002,0.22755838671823342,0.24836412929246823,0.004562579189737638,0.9991041666666667,0.9030416666666666,0.700875,0.517875,0.8006666666666666,0.7331666666666666,0.0001800580246247277,0.3886721443943132,0.5074325691824678,0.9815866797257591
4,2.2649500977595647,1.0363753153880437,0.24576112949848175,0.00016514324290574223,0.42024815585215886,0.4732901628017426,1.993967292547226,0.19234615788857143,0.21789664754768212,0.0047606995118161044,0.9990208333333334,0.9370833333333334,0.8746666666666667,0.5934583333333333,0.8557916666666666,0.8305416666666666,0.000159640611810421,0.3608220045847944,0.3572065891294825,0.9886385896180215
5,2.1936085836489996,1.0379488410552342,0.24412193523347378,0.0001540063145212116,0.3966522749066353,0.39308413734535375,1.9917420195738476,0.18497431160757938,0.21497309804707765,0.0056231314366062485,0.9992291666666666,0.962875,0.9370833333333334,0.6447916666666667,0.877875,0.860625,0.00014732755080224222,0.34558686768740093,0.30821459589345446,0.9929480901077375
6,2.1531432560682298,1.0376528138518333,0.24284970481197038,0.0001512304719317399,0.3821842896242936,0.35989897417028743,1.9911904309193293,0.17887446660300096,0.21328051905085643,0.0061277294928828874,0.9995,0.972375,0.954625,0.6605,0.8990416666666666,0.8746666666666667,0.00014324355121617523,0.33862125132156284,0.29135228813453473,0.9943192948090108
7,2.131449581583341,1.0377287211815516,0.24267063823342322,0.00014769074405664165,0.37421603651841484,0.3410758833140135,1.9889585200945537,0.17019433831671874,0.20681145717203617,0.006123254984617233,0.9995416666666667,0.975625,0.9622083333333333,0.66375,0.913375,0.882875,0.00013929162055439722,0.33288723407833165,0.28165260985946095,0.9959843290891283
8,2.1140343518654507,1.0378878005743026,0.24289088102678458,0.00014192303106816932,0.36685250169038774,0.33088937583317357,1.9868850861787797,0.16415753688911597,0.20401045048733552,0.005992466936508814,0.999375,0.979125,0.964625,0.6764583333333334,0.9222916666666666,0.8827083333333333,0.00013789133333289095,0.32924404988151107,0.27382197649775475,0.9977473065621939
9,2.099228825926781,1.0369628280997276,0.24180681828657785,0.00013962996180756212,0.36201775262256464,0.320481365673244,1.9877888522545497,0.1627072391808033,0.1967540310372909,0.0060386826122800505,0.999625,0.982875,0.9680416666666667,0.6801666666666667,0.925125,0.89,0.00013320271181124289,0.3264242320669036,0.2711342435333801,0.9965719882468168
10,2.0899420709609986,1.0355097651084264,0.24206315612296264,0.0001428559941371835,0.35861139123141766,0.3162021818459034,1.9846571073532104,0.16407253899176916,0.1985286275272568,0.006419528538982073,0.9995833333333334,0.9852083333333334,0.9675416666666666,0.6822916666666666,0.9320833333333334,0.8930833333333333,0.00014157685409025382,0.3246751093052977,0.2709264285534066,0.997845249755142
