epoch,loss_total,loss_rgb_identity,loss_cross_view,loss_sar_class,loss_cluster,loss_structure,loss_statistics,loss_physics,loss_angle,loss_adversarial,loss_feature_match,loss_discriminator,rgb_identity_accuracy,fake_native_sar_accuracy,cluster_cosine,speckle_strength
1,105.9030485534668,3.0822689542770387,0.16075014448165895,2.4243094401359557,0.8774459204673767,1.5320641283988952,0.32839456808567047,2.5401519150733947,4.8167181957978756e-05,0.33511695453524587,0.1411924811601639,1.0112150452136994,0.322375,0.411,0.12255408057849854,0.0
2,54.74926301574707,1.7761041703224183,0.21299264025688172,0.5328792974948883,0.6029309241771698,1.0052330193519592,0.15002468156814575,1.5553341517448425,8.457539835944772e-05,0.5205374012123793,0.1182304149568081,1.0448409428596497,0.825,0.913,0.397069074511528,0.0
3,32.87732774353027,0.812732861995697,0.19137044978141785,0.18969302481412886,0.3914506983757019,0.8035261709690094,0.12265805196762085,0.6580852344036102,0.00013621191773563622,0.5514009230583906,0.07455799008905888,1.2471925740242005,0.989875,0.999625,0.6085493016242981,0.0
4,38.7817677154541,0.555475061416626,0.1464078664779663,0.7786349699497223,0.4974427254199982,0.838122038602829,0.1206803968846798,0.6533367787599563,0.00017876994051039218,0.6820698571763932,0.08266792851686477,1.0812915439605713,0.9793125,0.859125,0.5025572736263275,0.0
5,27.401496124267577,0.2613854812383652,0.12955276250839234,0.18993865418434144,0.36848322248458865,0.8229541981220245,0.11169168138504028,0.6162270194292069,0.00018965638242661952,0.5575334561318159,0.08510553675889969,1.3481706919670104,0.9999375,0.999,0.6315167775154114,0.0
6,35.771987953186034,0.34731224143505096,0.11402436327934265,0.733331283390522,0.4490628650188446,0.8475670776367188,0.11135546112060547,0.6552154629230499,0.00029236913472414016,0.5496690438240767,0.09047309002280235,1.4049684767723083,0.982375,0.861375,0.5509371344745159,0.0
7,26.82596736907959,0.20002828401327133,0.10647129130363464,0.1855081158876419,0.36001425194740294,0.822905855178833,0.10905810314416885,0.6347557101249695,0.0002496329741552472,0.6102085122913122,0.09168632376194,1.252022474050522,1.0,0.99975,0.639985748052597,0.0
8,25.834142753601075,0.18845410650968553,0.09683052730560303,0.182590167760849,0.30383211183547976,0.8141862418651581,0.10447429487109185,0.5953258595466614,0.0004288308545947075,0.5103149187117815,0.08658170068264008,1.4144691491127015,1.0,1.0,0.6961678881645202,0.0
9,33.38070179748535,0.27532539260387423,0.09095344114303588,0.6601126583218575,0.40096987414360047,0.8294922170639039,0.11043029472231865,0.6321867371797562,0.0005835897629149258,0.5151735315322876,0.09006400598585605,1.4084052946567536,0.9868125,0.884375,0.5990301258563996,0.06400000303983688
10,26.534234474182128,0.1866111944913864,0.08868112683296203,0.18635936290025712,0.3388537800312042,0.8284989914894104,0.10662065973877907,0.6203655585050583,0.00044981380738317965,0.5692525322884321,0.09148083698749543,1.386237500667572,1.0,0.999875,0.6611462199687957,0.12800000607967377
