epoch,train_loss,train_top1,real_test_top1,real_test_top5,real_test_azimuth_top1,real_test_azimuth_mae
1,3.762867955451316,0.043550531914893616,0.04923954372623574,0.21045627376425854,0.08821292775665399,89.95437262357414
2,3.3754995503324143,0.09940159574468085,0.09600760456273764,0.3355513307984791,0.09714828897338403,88.77376425855513
3,3.1342650778750154,0.1685505319148936,0.10570342205323194,0.3477186311787072,0.12129277566539924,88.55133079847909
4,2.910500224600447,0.21758643617021275,0.11711026615969582,0.3923954372623574,0.12927756653992395,84.49619771863118
5,2.6114741538433317,0.2989527925531915,0.11102661596958174,0.40190114068441063,0.12091254752851711,88.2148288973384
6,2.2848004508525768,0.4045046542553192,0.13802281368821293,0.41958174904942963,0.1252851711026616,87.56463878326996
7,1.9683254690880472,0.5077293882978723,0.14163498098859315,0.4300380228136882,0.12623574144486693,91.69391634980988
8,1.656396211461818,0.6155252659574468,0.16178707224334601,0.45665399239543725,0.12965779467680608,92.11596958174906
9,1.3591010418344052,0.7133477393617021,0.14011406844106464,0.42129277566539924,0.13574144486692016,89.21863117870723
10,1.0602679265306352,0.8124168882978723,0.14581749049429657,0.4306083650190114,0.15095057034220533,88.42015209125475
11,0.8452474119815421,0.8766622340425532,0.1414448669201521,0.42889733840304184,0.12509505703422052,89.32699619771863
12,0.7113960334595214,0.9157247340425532,0.15114068441064638,0.42281368821292775,0.14049429657794676,89.86882129277566
13,0.6146576788197172,0.9440658244680851,0.15817490494296577,0.43840304182509504,0.1269961977186312,88.79657794676807
14,0.5563992597955338,0.9629321808510638,0.14182509505703422,0.4102661596958175,0.14372623574144486,90.06844106463879
15,0.5039510156245942,0.9750664893617021,0.14372623574144486,0.4271863117870722,0.1591254752851711,90.47908745247149
16,0.48522058541470386,0.9783909574468085,0.13897338403041826,0.40019011406844107,0.1682509505703422,88.96197718631178
17,0.4632926142596184,0.9844581117021277,0.13688212927756654,0.39296577946768063,0.16596958174904944,88.15779467680608
18,0.4458304168062007,0.9873670212765957,0.13954372623574143,0.38783269961977185,0.12984790874524715,91.4657794676806
19,0.43568714755646726,0.9901928191489362,0.15285171102661596,0.39847908745247146,0.16178707224334601,89.86311787072243
20,0.4231636089847443,0.9926030585106383,0.13631178707224334,0.3861216730038023,0.18041825095057035,86.85171102661597
21,0.4075594484171969,0.9956781914893617,0.1214828897338403,0.36482889733840307,0.1741444866920152,89.52661596958175
22,0.3993093216038765,0.996343085106383,0.1376425855513308,0.37889733840304185,0.15247148288973383,90.47338403041825
23,0.39633364753520234,0.9967586436170213,0.1446768060836502,0.388212927756654,0.16996197718631179,88.69961977186311
24,0.387661708162186,0.9978390957446809,0.14790874524714828,0.3897338403041825,0.16901140684410645,89.81178707224335
25,0.3857786512755333,0.9973404255319149,0.14866920152091254,0.3846007604562738,0.17813688212927756,86.92585551330798
26,0.37823646911915315,0.9986702127659575,0.1650190114068441,0.3931558935361217,0.17490494296577946,90.70722433460077
27,0.37514170021452803,0.9983377659574468,0.15475285171102662,0.37813688212927754,0.1935361216730038,88.36882129277566
28,0.3732875198759931,0.9986702127659575,0.15304182509505704,0.3815589353612167,0.18479087452471482,86.90874524714829
29,0.3701601561079634,0.9989195478723404,0.14771863117870723,0.3832699619771863,0.18346007604562736,88.95627376425855
30,0.3671497835757885,0.9988364361702128,0.15931558935361217,0.38954372623574146,0.17319391634980988,89.61216730038022
