epoch,g_total,g_adv,g_sb,g_nce,rgb_identity,d_loss,e_loss,rgb_class_accuracy,examples_per_second
8,3.5106350192228954,0.8566988803682228,0.005439188465786477,2.6440891877015433,0.09303032766034205,1.9947795147895813,0.005444712919881568,0.9861666666666666,194.30704743511393
9,3.392097533384959,0.8541932303160429,0.005833278130895148,2.530821015516917,0.0649995935584108,1.9969934017260869,0.0058390423931414265,0.9909166666666667,233.8487044398596
10,3.3330601557890573,0.8646505401606361,0.006286503074380259,2.4607051010926564,0.07075866759568453,1.9940711425940196,0.006264622462913394,0.9892083333333334,228.81309193942712
11,3.2547756865819295,0.854006739517053,0.006759637288671608,2.3963960613409676,0.03696923121313254,1.992531757593155,0.006765053325255091,0.9952916666666667,227.75351805722264
12,3.2309477750460305,0.862589762677749,0.00705719717219472,2.3633253316084546,0.043269615935782595,1.9883351531028748,0.007047709293353061,0.992375,223.79227320699349
13,3.19556157096227,0.8667960977753003,0.007383652251989891,2.322691153764725,0.05335952279220025,1.9823358535369238,0.007380763550288975,0.991375,223.3421410742237
14,3.1601871927579244,0.8572666646291812,0.007802639892945687,2.2974179755449295,0.047222892296810946,1.9798823756376902,0.007808389612551158,0.9920833333333333,216.74340258464238
15,3.1386558032035827,0.861917092387875,0.008111227618685614,2.275112855553627,0.008147316845754782,1.9725022841294606,0.00811261770525016,1.0,233.01460589693582
16,3.1207565649350486,0.8571099383036296,0.00838608551879103,2.2607990433375043,0.02008978280425072,1.9671210846503575,0.00838745160579371,0.997125,239.61224959020956
17,3.101253868818283,0.848198555747668,0.008796279440556342,2.250685250719388,0.01490432804574569,1.9709433742761613,0.008799879990983755,0.998,223.86800803948142
18,3.0908941493034363,0.8459954688549042,0.008985041113492723,2.2431833049853642,0.0081687238017718,1.9763391403754553,0.008991006481306007,0.9994166666666666,243.52199761794793
19,3.0816669834454853,0.8544076235195001,0.009364177787055571,2.2258293320735296,0.004936106726527214,1.9782034479379653,0.009364612627153596,1.0,223.26819335217144
20,3.0698501215775806,0.8553473522365094,0.00951319044549018,2.2117898417313895,0.01761609010150035,1.9807681843439737,0.009505186940931405,0.997375,229.2489433219552
21,3.0592495033740996,0.8582124600410461,0.009797538727056234,2.199648250659307,0.0040904168039560315,1.9806557046969733,0.009805869160530467,1.0,224.69363828497907
22,3.0511036626497905,0.860984919577837,0.010149619853279243,2.18871639084816,0.0038738909910122554,1.982303959608078,0.010155435060461362,1.0,224.20938077995632
23,3.045224577109019,0.8591617478430271,0.010347370213984202,2.1846589722235996,0.0036912137642502786,1.9823682756026586,0.010347165526356549,0.9999583333333333,222.51433618316992
24,3.036152386665344,0.8605567619601886,0.010541816780809314,2.174187020778656,0.003544239508608977,1.9855368385314942,0.01054203962472578,0.9999583333333333,235.03764868250866
25,3.025625131924947,0.8621724836925666,0.0107542017060332,2.1620415204763415,0.0033571110069751738,1.985734119017919,0.010756457092550893,1.0,236.0824446835863
26,3.031318743467331,0.8676475974818071,0.010906462591451904,2.1592487686872484,0.033317319363355635,1.9862354427576066,0.01090835520842423,0.9951666666666666,230.0343502341207
27,3.0044271876017254,0.862773185133934,0.010957060154216986,2.1402479507923124,0.003103421799838543,1.9873940564393997,0.010957375679165125,1.0,228.2157201889874
28,3.0031983013153076,0.8665489568263293,0.01109722028672695,2.135240812420845,0.0029880835687120756,1.9874590180714926,0.011097761242495228,1.0,227.57172076632668
29,3.0039279237588246,0.8701462659835816,0.011288590642778824,2.1323581108252205,0.002946854755282402,1.9871803131103516,0.011288432251351574,0.9999583333333333,239.55176562386387
30,2.9930855140686035,0.870838368088007,0.011417311271031698,2.1208240493535997,0.002813627945880095,1.9885676642258963,0.01141724771199127,1.0,241.78607794300112
31,2.989391934712728,0.8704572079877059,0.011481238811432074,2.117521384994189,0.0026522130792339645,1.987279211560885,0.011484960711561144,1.0,231.99418467998015
32,2.9761072153250376,0.865833766122659,0.01167568424794202,2.108849677125613,0.002562025951842467,1.986465983470281,0.01167592111757646,1.0,218.194251939584
33,2.9767339719136556,0.870791865626971,0.011980041860602796,2.1044989692370097,0.0024513326237599053,1.9871925543149311,0.01197865813287596,1.0,232.711652980779
34,2.9653522044817606,0.8649045326113701,0.011938086131587625,2.0990211053689323,0.002327589412530263,1.9881824669440586,0.011937320806396505,1.0,224.56847219319872
35,2.969814979791641,0.8710032379031182,0.012128890935797245,2.097369643568993,0.002292069586614768,1.986921365261078,0.012124678552616388,1.0,233.2675004318596
36,2.9636039118766786,0.8672826086382072,0.012256898460754504,2.09487171181043,0.002239014528691769,1.9884549415508905,0.012264046447196355,1.0,238.11129980567642
37,2.9561655682722727,0.8700252207914988,0.012342501257235804,2.0846927970647813,0.002132995828986168,1.9892464449803033,0.012342578928296764,1.0,245.46059203299993
38,2.951696167786916,0.8708060156901677,0.012564675643419227,2.079423706014951,0.0020998146906495096,1.9891241408189138,0.012560502225998789,1.0,176.7449778306445
39,2.9494099939664205,0.8708677522242069,0.012681809558377912,2.0770672949155173,0.00206766643623511,1.9874265814622243,0.012682908829456815,1.0,170.08925508756684
40,2.9451802831490834,0.8698446656763553,0.01288115677718694,2.0738474613428117,0.002000399904946486,1.9881151603857676,0.012877211440665027,1.0,171.91579458658126
41,2.9377020897865296,0.8686257327198982,0.01299133283055077,2.0675756084521613,0.002016115243236224,1.9888418716589609,0.012988117900211364,1.0,171.03446254863942
42,2.942182698249817,0.874421495427688,0.013308663630392402,2.066237837990125,0.001924973929921786,1.9878320455153784,0.013303654297720641,1.0,213.86166408152027
43,2.9319018422762553,0.8714938340087731,0.013384061340553066,2.058872922261556,0.0019668095285693805,1.9887408020893733,0.013382886847481132,1.0,214.36510795002053
44,2.9334056277275087,0.8733056749800842,0.013446731071919203,2.058561267654101,0.0019401106635729471,1.9888486839532853,0.013442113873704026,1.0,206.65338145908672
45,2.924220211903254,0.871084096690019,0.013660732425904522,2.0515834120512006,0.0018663386777043342,1.9887073339621226,0.013658935533215602,1.0,206.51314199906224
46,2.923568860133489,0.8723163275718689,0.013761001033087571,2.0496932600339255,0.0018316859801610311,1.9900505245526632,0.01375619791339462,1.0,206.90477293040385
47,2.9261984504858654,0.8749592412412167,0.013988509646927317,2.048256066918373,0.0158429153089722,1.9899219359556835,0.01398940493632108,0.9978333333333333,208.09376662347447
48,2.915240836938222,0.8737998535633087,0.013970475814460466,2.0398235979477564,0.0022033698881665864,1.9902629630168278,0.0139668844936726,1.0,206.74885739123164
49,2.9050121292273205,0.8681231044332186,0.014376132960120837,2.0352717116673786,0.0017970265944798787,1.9901608463128408,0.014384021024530133,1.0,207.31075287725085
50,2.907157600482305,0.8710803320308527,0.014397971733938903,2.034467020670573,0.0017044763142863909,1.9912673623959223,0.014398328001610936,1.0,208.45795073039866
51,2.8986798261006674,0.8724005075693131,0.014411571960741033,2.024671449144681,0.0016671186958750089,1.9904831878741582,0.014406147632592669,1.0,208.93809053301646
52,2.903452403783798,0.8780112088720003,0.014415602693334221,2.0238411238590874,0.0015851160362362862,1.9912296013832091,0.014413181838579476,1.0,205.60122548326413
53,2.9013126212755838,0.8776137209534645,0.014601897633944948,2.022076343178749,0.0016236564964056015,1.9900432009299596,0.014601141133345664,1.0,208.36239154360422
54,2.890149357318878,0.8740146632095178,0.014669626742446174,2.0145078856945036,0.0015984615832567216,1.98977105987072,0.014672791158780455,1.0,207.71258970224582
55,2.8870445176760358,0.8713501047293345,0.014754657976329327,2.0140603948831557,0.0015854999398191769,1.989051208337148,0.014757873721265545,1.0,205.35217116087844
56,2.890330454190572,0.8765449080566565,0.014841563060414046,2.0121490038235983,0.0015238631740212441,1.9917009263833363,0.014841178286199769,1.0,208.358821602408
57,2.8900886952082314,0.8758842764298121,0.014856165183708072,2.012565760135651,0.0015304490253329277,1.989799801190694,0.014857586040782432,1.0,207.45595784106754
58,2.883969255288442,0.8747054253816604,0.014949885540952284,2.007617694099744,0.0015114771525065105,1.9892012454271317,0.014952571974601597,1.0,204.03909977774995
59,2.886197622855504,0.8751406568487485,0.015110841616988183,2.0093997918367386,0.0014608917733033497,1.9904506220022837,0.015113829357239107,1.0,207.20208120610798
60,2.881596795956294,0.8758964325288932,0.014966791561649491,2.0040575468937556,0.0014614110191663106,1.9913226018746695,0.014966750219929964,1.0,206.19924007657553
61,2.876096824566523,0.876607491393884,0.015187259525215874,1.997824399471283,0.0014621100947260857,1.9890922780036926,0.01518770649470389,1.0,219.83428548427017
62,2.8688766589959465,0.8726255026459694,0.015411227586679161,1.9945672342379888,0.0014280101160208385,1.989736773967743,0.015416657517043252,1.0,233.8980291065532
63,2.8712876725196836,0.8735443569421768,0.015251806891678522,1.9960766730308532,0.0014146108428637187,1.9906991319259009,0.015248450213422377,1.0,240.18138922948614
64,2.864496739943822,0.8754670985738436,0.015372219967190176,1.987357196768125,0.0013522460386157036,1.9910234226385752,0.0153703448404558,1.0,241.49066560692177
65,2.866200626532237,0.8734748676816623,0.015187456289306282,1.991071192383766,0.0013581654603282611,1.9915476351181667,0.015189374752497922,1.0,236.91717651949375
66,2.8676714514096577,0.8787914082805316,0.015375877840754887,1.9872074941794078,0.0013495869984229405,1.989481259226799,0.015374301974661648,1.0,243.02328000746152
67,2.8524271313349407,0.8694741102854411,0.015421992030149947,1.9812784218390782,0.001324010302623113,1.9916629205942153,0.015423241942500075,1.0,242.52429621447112
68,2.8560257714589437,0.8729215398331484,0.015465549195030083,1.9814246892531713,0.0013298650284608205,1.9904556274016698,0.015468746759773543,1.0,236.0215135433286
69,2.8556307384967803,0.8759816214044889,0.015337170929803202,1.97798326253891,0.0013214082891742389,1.9902467898130416,0.015337596841932585,1.0,245.49284711775002
70,2.8542273987929025,0.8747833242714405,0.015283760940966507,1.9777827545801798,0.0013294801265001297,1.9914254226684571,0.015280540032933155,1.0,245.3794008140174
71,2.848517656882604,0.8724123156567415,0.015331777279886107,1.9744393804868063,0.0013278748914599418,1.9913823139270146,0.015329182367461423,1.0,237.06363291677772
72,2.852804275115331,0.8742652271091939,0.015369764736543098,1.9768710360924402,0.0013103458881378173,1.9917516723871231,0.01537007377576083,1.0,236.03301692617427
73,2.8481044742266337,0.8741783171296119,0.015335371560572335,1.972263331691424,0.0012928753445545832,1.991771342674891,0.015331874411708364,1.0,244.97226073473638
74,2.848994115273158,0.875320388674736,0.015420919727378836,1.972005393942197,0.0012623897219697635,1.9921393311023712,0.015417660762711118,1.0,242.14097391560563
75,2.839951289494832,0.8723088867167632,0.015457035990121463,1.9659690233071645,0.0012767378116647402,1.991988740324974,0.015452929678217818,1.0,239.0573316737831
76,2.8425814141432446,0.8722105071643989,0.015440643733056883,1.9687063241402307,0.0012051593512296677,1.99142496017615,0.015437353174667805,1.0,249.56267617719158
77,2.8391194314161936,0.8758834484219551,0.01544578453587989,1.9615667400360108,0.0012466517289479574,1.9908913865486781,0.015448845023599764,1.0,237.09302261444648
78,2.8380474367141724,0.8767993228733539,0.015397176639487345,1.9595872121254603,0.0012118404979507128,1.9904813956816991,0.01539214956962193,1.0,232.64434162827294
79,2.8363617084026336,0.8749180980026722,0.01535729211087649,1.9597875012556711,0.0012038118392229081,1.9919165639877319,0.015355078389092038,1.0,244.98826198180794
80,2.8310078784624735,0.8748345239162445,0.015301216137750696,1.954525107661883,0.0011812376827001572,1.9919557103713355,0.015299546378664673,1.0,229.23558090181837
81,2.8366787264347075,0.8745550307234128,0.015436633511756857,1.9604601371685664,0.001198939541975657,1.9910264481306077,0.015434846173816671,1.0,239.94732752808588
82,2.8285219281514484,0.87423916657269,0.015350307021755724,1.9526337581078212,0.0011397287473082543,1.9912157560189565,0.015350478131013612,1.0,231.50849596169797
83,2.8353613963921864,0.8779777331252893,0.015326353516429662,1.9557310615380605,0.0011996453478932381,1.9905573987960816,0.015324093230689565,1.0,240.01780104989209
84,2.8280245904922485,0.8719287862479687,0.015286515285416196,1.954451257387797,0.0011589431539177895,1.991782462279002,0.015287907818487535,1.0,227.4906311582189
85,2.833929148276647,0.8755542684396108,0.015245276547657947,1.9567346777121226,0.0011567524299025535,1.9899828878243764,0.015246891610945265,1.0,235.72785541962202
86,2.8285371908346812,0.8730554381608963,0.015184839507409682,1.9538503081401188,0.0011295824175079664,1.9909564183950423,0.01518582857089738,1.0,234.05307668735017
87,2.8237760129769645,0.8734814453323683,0.015342242072957257,1.9486489916245142,0.0011135272433360419,1.9903728587230047,0.015337225446322312,1.0,245.47207915643696
88,2.818922992070516,0.8719252634545167,0.015154553060730299,1.9453678998152415,0.0011437389453252157,1.9914011320273082,0.015155362672017267,1.0,237.14115941724216
89,2.8226974708239236,0.8726744609971842,0.01530147146464636,1.9483795568148294,0.0011330668504039446,1.9919878856341044,0.015300661509701361,1.0,225.61901128268616
90,2.821077711264292,0.869401911218961,0.015312730339200546,1.9500225095748902,0.0012201729665199915,1.99134392674764,0.015313232467509806,0.9999583333333333,225.31763043591107
91,2.820008371432622,0.8707311535676321,0.015230936359303693,1.9476444314320882,0.0010969560742378234,1.990353402574857,0.015226870025352885,1.0,233.45531301230233
92,2.8167323207855226,0.8680960451960563,0.015288079753207664,1.9469969062407813,0.0011056410322586696,1.9919293056726455,0.015282263336858401,1.0,236.01754553119474
93,2.8181183436711628,0.8690431609849135,0.015279082036266725,1.947432941397031,0.0011433489248156548,1.9906352324485779,0.015274444535064201,1.0,234.55160838238888
94,2.813744142373403,0.8709141328334808,0.015279582019895314,1.9411937250693638,0.0010832535574833552,1.9933271428346635,0.015275736974862715,1.0,238.84848035637233
95,2.8085749725500744,0.8697413856983185,0.015341569661938895,1.9371925845543543,0.001068472350637118,1.992965658903122,0.015341919228279342,1.0,233.00481130217855
96,2.818574965953827,0.871359041561683,0.015389505522015194,1.945565929889679,0.0011104464456439017,1.9904461272557576,0.015388343745532135,1.0,229.70308805330458
97,2.8140201203823088,0.8707297980089982,0.015363376854918898,1.9416433037122092,0.00110683290908734,1.992424931049347,0.015356077096735438,1.0,227.2736259139707
98,2.808708124001821,0.8681378110746543,0.015395130904701848,1.9389225021203358,0.001083016241590182,1.9910117965539296,0.01538855364639312,1.0,245.07826807668212
99,2.8144504544734956,0.8723867142697176,0.015524894550442696,1.940404464006424,0.0010678791627287865,1.9926507100661595,0.01551860676985234,1.0,241.75236286768552
100,2.8088762702147165,0.8710868410368761,0.015611896752069393,1.9361226347684861,0.0010560136263569196,1.9915808094739913,0.015609188586163024,1.0,249.84594251659362
101,2.8087850418885547,0.8740186801552773,0.01572527639195323,1.9330852173169455,0.0010862006545066833,1.9932040569782257,0.015728303793507318,1.0,227.4884597794594
102,2.8091158151626585,0.8706079214314619,0.015781705778092146,1.9368281228144963,0.001016014908750852,1.9911385018825531,0.015787555024027823,1.0,230.11966793753544
103,2.8067469889322916,0.8715947759846846,0.015589099429858227,1.9334910828272502,0.0010222072079777717,1.9921492108503978,0.015595112731059393,1.0,240.60074780478112
104,2.806348143577576,0.8711186477144559,0.015631792341048518,1.93356161181132,0.0010470648656288784,1.9912342842419941,0.015632333049861093,1.0,229.9081555619229
105,2.802347395261129,0.8676487414042154,0.015605245612561703,1.9330333826541901,0.0010474776948491732,1.9922356952031453,0.015606192858734479,1.0,226.12823198951767
106,2.803846316655477,0.8704442900319894,0.015525941121702393,1.9317443213860195,0.0010511008724570275,1.9919780305226644,0.015526739680829148,1.0,230.12751883761658
107,2.806555833339691,0.8717105555832386,0.015604351175017656,1.9331792469819387,0.0010559437150756518,1.9898563168843588,0.015605448381664852,1.0,239.69770770465772
108,2.8044710789521536,0.8698801935017109,0.015324602430065472,1.932949010848999,0.0010941279033819834,1.9907488783597946,0.015324838194996119,0.9999166666666667,229.00197661386534
109,2.8030069428284965,0.868724529226621,0.01543744210464259,1.9326340959469477,0.0010457358385125796,1.9901715470552443,0.015437202986640235,1.0,235.0533053235323
110,2.805317739486694,0.8704708812038103,0.015285486139046648,1.933210645278295,0.0010766340121626855,1.9905405295292535,0.015287286206148564,1.0,221.83274017756978
