epoch,generator,adversarial,rgb_identity,ltc,sfm,geometry,discriminator,disc_wrong_class,disc_wrong_condition,r1,rgb_accuracy,native_class_accuracy,native_band_accuracy,native_polarization_accuracy,native_depression_accuracy,native_azimuth_accuracy,validation_ltc,validation_sfm,validation_geometry,validation_native_class_accuracy
17,1.9499062354564667,0.9671439602573713,0.23963195577263832,0.00012311899062918504,0.32987071454524997,0.2771421743631363,1.969060254653295,0.1465649059737722,0.1777138393521309,0.009571156467000644,1.0,0.996125,0.9790416666666667,0.7010833333333333,0.9639166666666666,0.9182083333333333,0.0001318927104056155,0.31835720972096027,0.26343467906875917,0.9975528582615505
18,1.9351103492180506,0.9745247219999631,0.23958482911189397,0.00012314235682773264,0.3199200362612804,0.2697147968485951,1.9844095315933228,0.11748952859143416,0.1461940552915136,0.007948018595576286,0.9999791666666666,0.996625,0.98175,0.699875,0.9699166666666666,0.9269166666666667,0.00013222661792830408,0.3159676434511586,0.260935619740383,0.9977486296006265
19,1.9323442740043004,0.9798400224248568,0.23951813899477323,0.0001236036821220523,0.31674451860785485,0.2641662256817023,1.984254347761472,0.10937662962824106,0.13558131592720746,0.0072207984502116835,1.0,0.9980416666666667,0.9834583333333333,0.7044583333333333,0.9750416666666667,0.9315416666666667,0.00013056038932259743,0.3129214338196869,0.2574628957400657,0.9986296006264683
20,1.9248640919923783,0.9809593112866084,0.23950452974935374,0.00012707333496753866,0.3131776164919138,0.2593029002745946,1.9823706291516623,0.10770782342801491,0.13237136811763048,0.006875740185379982,1.0,0.9985,0.9861666666666666,0.7113333333333334,0.9778333333333333,0.9297916666666667,0.00012933938508669958,0.31039979893454556,0.2534414686017561,0.9986296006264683
21,1.9203438350756963,0.9836882457733155,0.2395001214593649,0.00012906294194317525,0.30942677302161853,0.26014597040911513,1.9834193981091182,0.1027809163009127,0.12555469345798095,0.006603829359014829,1.0,0.9985416666666667,0.986125,0.7010416666666667,0.9762916666666667,0.93375,0.00012954503025168547,0.30800052343801354,0.25016920448382246,0.9989232576350823
22,1.9185032811164855,0.9842662677963575,0.2395887078891198,0.00012915580891710002,0.30859937813381355,0.25730411599079767,1.98256433737278,0.10314552698036035,0.1248242711747686,0.0064894954264163975,0.9999791666666666,0.9987916666666666,0.9872916666666667,0.7105833333333333,0.97925,0.93375,0.00013045515676178267,0.3059866272012237,0.248765181933844,0.9990211433046202
23,1.9161452504793803,0.9855024055242538,0.23946228908995787,0.00012850291399915174,0.3071341689825058,0.2555173655500015,1.9785794864098232,0.1046439676657319,0.12794205891589325,0.0064063483029603956,1.0,0.9986666666666667,0.9895833333333334,0.7074166666666667,0.9785416666666666,0.9349583333333333,0.00013117839763020976,0.3042957727332762,0.2466305305783111,0.9991190289741582
24,1.9150937080383301,0.985583963394165,0.23946734797954558,0.00012263461777168533,0.30680942797164124,0.2539275606845816,1.9780647712548574,0.10403137867897749,0.12994711083422106,0.006473537730673949,1.0,0.9988333333333334,0.9907916666666666,0.7066666666666667,0.9805416666666666,0.9339583333333333,0.0001300362401922299,0.30297590526566204,0.2446017634814945,0.99951057165231
25,1.9155362539688745,0.9872193625569343,0.2394550545712312,0.00012286239070954252,0.30626742146412533,0.25360422730445864,1.9783974899053574,0.10239964885512988,0.12807269273449978,0.0063594263568520545,1.0,0.9983333333333333,0.99075,0.7093333333333334,0.9794166666666667,0.93525,0.0001285858132793315,0.30179984883763356,0.24281467619580316,0.9996084573218481
26,1.9126651811997095,0.9861234920024872,0.23944749400019646,0.00012686607295230108,0.3053238033403953,0.25397617811957995,1.9800838686227797,0.1019326382453243,0.12547558842102688,0.0063029347906510035,1.0,0.9990416666666667,0.9885416666666667,0.7133333333333334,0.9792916666666667,0.9340416666666667,0.0001287153083158174,0.3010050373658036,0.2413509546800246,0.9996084573218481
27,1.9120094962914784,0.9872407704591751,0.2394460318982601,0.00012618536690251858,0.3046093208044767,0.25283892906457184,1.9773681627909343,0.10151503624767065,0.12578659540663162,0.0064134133011102675,1.0,0.998875,0.9909166666666667,0.706,0.9793333333333333,0.9360833333333334,0.00012942541571057871,0.300069645394337,0.24072705823475948,0.999706342991386
28,1.9112584413687388,0.9859616070389747,0.2408250931352377,0.0001243964146771456,0.3042453551540772,0.2524407738447189,1.9775645751953126,0.10381804600109656,0.1265564920877417,0.006475031283994515,0.9997083333333333,0.9987083333333333,0.9917083333333333,0.7057083333333334,0.9786666666666667,0.937375,0.00012959056407001063,0.29970071217104993,0.24030366820737592,0.9993148003132342
29,1.908430428067843,0.9886932019193967,0.23943749090035757,0.00012542822256765855,0.3021900397439798,0.25222931788365044,1.975446093360583,0.10140485013773044,0.12575518363217514,0.006487343321243922,1.0,0.9987916666666666,0.9916666666666667,0.7074583333333333,0.9802083333333333,0.9359166666666666,0.00012689511768930985,0.2987735583129672,0.23956201811588734,0.99951057165231
30,1.9061371034383774,0.9872657192150752,0.23942699663837752,0.00012610462707137533,0.30187011387944224,0.25150649780531725,1.975661720832189,0.10149413918455442,0.12658709086477757,0.006504808391133945,1.0,0.999375,0.991875,0.7132916666666667,0.9805416666666666,0.9392083333333333,0.00012825834470831288,0.29820721988991405,0.2382457938917512,0.9994126859827721
31,1.9060015285809835,0.9873956971565883,0.23943053757150967,0.0001271397139256957,0.301992121403416,0.24978923758367697,1.9768137733141582,0.10048970477779706,0.12638393318653107,0.0064645001689592994,1.0,0.9987916666666666,0.9910833333333333,0.7125833333333333,0.9805,0.9396666666666667,0.00012614462442108536,0.29773767759108927,0.23817029936689835,0.999706342991386
32,1.9048542368412018,0.9896384344696999,0.23943855375548204,0.0001247509385984813,0.30015787641207375,0.2507066287621856,1.9767621940374374,0.1021846641227603,0.12525940510630607,0.006420809773107369,1.0,0.9990416666666667,0.9918333333333333,0.709,0.9806666666666667,0.9355416666666667,0.0001276528570004647,0.29743323433989644,0.23788716251974285,0.99951057165231
33,1.9058806701898574,0.9878921697537104,0.2395416745096445,0.00012287576745150848,0.301641894698143,0.24972426599264144,1.9737554580370584,0.10419147108991941,0.12934068192789952,0.00656157111376524,0.9999791666666666,0.9990416666666667,0.9896666666666667,0.7130416666666667,0.98175,0.9414583333333333,0.00012678034882371173,0.2972218072568427,0.23769794269293523,0.9996084573218481
34,1.903115929087003,0.9875958100159963,0.23942327652374903,0.00012313585899293382,0.30041773633162183,0.2500503172452251,1.9755559630791346,0.10096698595831792,0.1275518295665582,0.006624026450018088,1.0,0.9989583333333333,0.991,0.708125,0.9812083333333333,0.9379166666666666,0.00012729812864579096,0.2967860136099434,0.2381810644217063,0.9994126859827721
35,1.9018631480932235,0.9891634156505267,0.2394192765255769,0.00012511741481898754,0.2989874133815368,0.2501846402386824,1.9723039446671804,0.102734106592834,0.12944540334989627,0.0066434093241890275,1.0,0.999,0.9932916666666667,0.7116666666666667,0.9794166666666667,0.9375416666666667,0.00012960450136659607,0.29665667072854524,0.23814907520659379,0.9993148003132342
36,1.8991055425405503,0.989351293404897,0.2396095366726319,0.00012704476585971255,0.29772315263748167,0.24814772726595402,1.9714337737957637,0.10193026377509037,0.12998641818761825,0.006821133618553479,0.9999583333333333,0.9990416666666667,0.9931666666666666,0.707875,0.981,0.9419583333333333,0.000127599181781114,0.2963636074063478,0.23794135928574073,0.9993148003132342
37,1.8990687517722449,0.9883640391627947,0.2395134670486053,0.00012585161660937653,0.2977967163523038,0.2511536840324601,1.9740902599096297,0.10284738264977931,0.13002101636677982,0.0069231099138657255,0.9999791666666666,0.9990833333333333,0.99275,0.701875,0.9819583333333334,0.9393333333333334,0.00012815636748276127,0.2960975769361716,0.2384025537661957,0.9992169146436961
38,1.8989460023641587,0.9878490636944771,0.23947607405483723,0.0001248354867523934,0.29821705021957556,0.24979030012587705,1.9746385822296142,0.10108697799841562,0.12936144625892243,0.006865266484518846,0.9999791666666666,0.9990833333333333,0.992125,0.7054166666666667,0.9820833333333333,0.94075,0.0001280682354637174,0.29588514231962204,0.23803623526786674,0.9994126859827721
39,1.9003821351925532,0.9904304432868958,0.2394091402788957,0.00012866477254616863,0.29766089573005833,0.2498780888641874,1.972574010292689,0.10105289928615094,0.1266152019922932,0.00683007251471281,1.0,0.9991666666666666,0.9933333333333333,0.7070416666666667,0.9828333333333333,0.938375,0.00012958725981450885,0.2956728349463867,0.23729556623026554,0.9993148003132342
